real,approx,threshold,abs_error_percentage,approx paths given
13568.36,14495.48,13.26,6.832955493515789,True
931.4,931.4,9.54,0.0,False
3838.24,3838.24,9.54,0.0,False
12537.99,12537.99,9.54,0.0,False
17227.01,17353.01,12.67,0.731409571364967,True
12004.88,12194.82,12.67,1.5821899094368332,True
16535.6,16712.86,12.67,1.071990130385363,True
20446.69,20852.45,8.24,1.9844776831849167,True
6839.59,7100.05,8.24,3.8081230015249456,True
6893.75,6893.75,12.6,0.0,False
4242.48,4354.78,12.6,2.6470366389470352,True
-1.0,-1.0,6.76,-0.0,False
11147.02,11418.42,9.91,2.43473143494853,True
13984.64,13996.26,9.91,0.08309116287584664,True
13682.84,13929.72,9.91,1.8043037848867576,True
5111.79,5111.79,9.91,0.0,False
9702.36,9702.36,6.51,0.0,False
10066.79,10601.25,6.51,5.309140252255178,True
11465.77,11752.51,6.51,2.5008350943722033,True
7027.77,7027.77,6.51,0.0,False
7889.05,7957.62,12.74,0.8691794322510278,True
12826.87,13048.79,12.74,1.7301181036371311,True
-1.0,-1.0,8.82,-0.0,False
-1.0,-1.0,8.82,-0.0,False
8521.89,8521.89,8.82,0.0,False
3253.53,3253.53,7.79,0.0,False
16113.45,16362.95,6.69,1.548395905284095,True
-1.0,-1.0,9.69,-0.0,False
12429.18,12799.4,9.69,2.9786357587547956,True
10883.16,10883.16,14.95,0.0,False
8678.1,8678.1,10.48,0.0,False
-1.0,-1.0,10.48,-0.0,False
7825.95,7825.95,10.48,0.0,False
17851.95,18167.53,10.48,1.767762065208552,True
11214.66,11462.7,10.42,2.2117478372059507,True
7590.42,7741.2,10.42,1.986451342613449,True
6662.94,6915.77,10.42,3.7945711652814054,True
7633.78,7922.47,10.42,3.781743775691735,True
14091.7,15198.31,14.92,7.85292051349375,True
19152.94,19239.98,11.9,0.45444720236162633,True
7161.29,7161.29,11.9,0.0,False
4321.92,4321.92,11.9,0.0,False
6675.35,6675.35,7.13,0.0,False
8582.23,8582.23,7.42,0.0,False
9737.87,10035.03,7.42,3.051591364435958,True
7909.06,8147.1,10.21,3.0097129115217225,True
5379.02,5560.19,10.21,3.3680856364170264,True
20093.38,20463.82,5.79,1.8435922677020922,True
18537.92,18537.92,5.79,0.0,False
-1.0,-1.0,5.79,-0.0,False
13834.51,14065.43,6.72,1.6691592257333294,True
9539.31,9539.31,11.17,0.0,False
7329.14,7929.84,11.17,8.1960502869368,True
7894.29,8333.82,11.17,5.5676951315444425,True
11994.48,12164.86,12.52,1.420486757241673,True
13015.91,13015.91,12.52,0.0,False
9472.56,9712.54,9.67,2.533422855067705,True
17262.73,17498.49,9.67,1.3657167782847905,True
14610.79,15006.44,9.77,2.7079302351207537,True
8410.74,8410.74,9.77,0.0,False
6959.32,7003.94,9.29,0.6411545955639328,True
8510.6,8833.98,9.29,3.7997320987944354,True
6919.69,6919.69,9.29,0.0,False
5525.28,5525.28,6.06,0.0,False
16289.14,16728.34,6.06,2.696274941464072,True
4167.86,4167.86,6.06,0.0,False
8232.19,8232.19,6.04,0.0,False
13825.94,14191.28,6.04,2.642424312560304,True
2597.87,2597.87,6.04,0.0,False
8820.5,8820.5,6.97,0.0,False
-1.0,-1.0,6.97,-0.0,False
12546.81,12932.35,6.97,3.0728129301392215,True
12486.51,12882.1,9.26,3.168139055668879,True
10162.8,10206.21,9.26,0.42714606210886624,True
17168.82,17344.24,9.26,1.0217359142911504,True
7874.19,7874.19,9.26,0.0,False
14025.89,14128.75,7.01,0.7333580970619374,True
12060.53,12060.53,7.01,0.0,False
11318.23,11908.73,7.01,5.217246866338641,True
-1.0,-1.0,7.01,-0.0,False
12073.95,12073.95,14.17,0.0,False
13556.34,14062.52,14.17,3.733898677666688,True
3539.64,3539.64,10.72,0.0,False
2612.76,2612.76,10.72,0.0,False
9675.87,9842.78,12.23,1.7250128412225447,True
8597.26,8981.8,10.35,4.4728204102237115,True
7858.18,7858.18,5.15,0.0,False
2842.03,2842.03,11.01,0.0,False
14525.03,15039.29,14.12,3.54050903853555,True
6547.61,6953.15,14.12,6.19371037676343,True
14102.81,14113.25,12.81,0.0740278001334522,True
18053.48,18251.78,12.81,1.0984031887480932,True
12389.0,12647.36,12.81,2.0853983372346483,True
16272.93,16631.89,8.0,2.2058719603660752,True
4390.45,4390.45,10.56,0.0,False
8108.61,8440.39,10.56,4.091700057099796,True
3065.3,3065.3,10.56,0.0,False
15358.31,15500.11,6.08,0.9232786680305392,True
6798.88,6798.88,6.08,0.0,False
7447.15,7778.04,6.08,4.443176248632032,True
13869.31,14178.71,12.11,2.2308247490322133,True
-1.0,-1.0,12.11,-0.0,False
6755.61,6755.61,12.11,0.0,False
16934.91,17212.5,12.11,1.63915840119611,True
9605.27,10008.38,8.68,4.196758654363685,True
13355.54,13501.0,12.68,1.0891360439188467,True
10239.61,10417.57,12.68,1.7379568167146906,True
-1.0,-1.0,14.22,-0.0,False
10545.16,10599.31,14.22,0.5135057220563712,True
2784.64,2784.64,14.22,0.0,False
6529.12,6529.12,6.02,0.0,False
-1.0,-1.0,6.02,-0.0,False
8462.96,8462.96,8.57,0.0,False
11979.29,11979.29,8.57,0.0,False
7395.44,7395.44,9.74,0.0,False
5877.64,5877.64,9.74,0.0,False
5515.0,5515.0,13.65,0.0,False
14441.77,14546.87,13.65,0.7277501303510606,True
-1.0,-1.0,12.01,-0.0,False
11263.71,11725.77,12.01,4.1022007846437925,True
8539.23,8539.23,12.01,0.0,False
16148.25,16524.87,14.47,2.3322651061260444,True
11762.61,11762.61,8.28,0.0,False
16577.87,16728.36,9.02,0.9077764513776596,True
13013.28,13013.28,7.6,0.0,False
-1.0,-1.0,7.6,-0.0,False
5001.46,5001.46,12.63,0.0,False
3027.63,3027.63,12.63,0.0,False
19047.1,19061.62,12.63,0.07623207732410937,True
14134.41,14734.34,12.63,4.244464395754759,True
14587.84,14692.38,14.8,0.7166242569153423,True
13476.41,14307.21,14.8,6.164846572640631,True
-1.0,-1.0,14.8,-0.0,False
16977.55,16977.55,9.53,0.0,False
3168.0,3168.0,9.97,0.0,False
3430.43,3430.43,9.97,0.0,False
9375.99,9521.68,9.97,1.553862578778353,True
7263.34,7407.89,9.97,1.9901312619263338,True
13999.81,13999.81,11.69,0.0,False
15807.83,15987.15,11.69,1.1343745472971287,True
13665.04,13940.04,12.27,2.0124346507584314,True
12719.92,12719.92,12.27,0.0,False
12948.75,13013.26,12.27,0.49819480644850056,True
9096.16,9653.78,12.27,6.1302791507625285,True
10457.72,10992.27,9.65,5.111534827859239,True
11134.19,11134.19,9.65,0.0,False
9661.07,9753.25,10.83,0.9541386202563515,True
11298.2,11298.2,10.83,0.0,False
